id,gender,customer_type,age,type_of_travel,travel_class,flight_distance,inflight_wifi_service,departure_arrival_time_convenient,ease_of_online_booking,gate_location,food_and_drink,online_boarding,seat_comfort,inflight_entertainment,on_board_service,leg_room_service,baggage_handling,checkin_service,inflight_service,cleanliness,departure_delay_in_minutes,arrival_delay_in_minutes,class
12189,Male,Loyal Customer,68,Personal Travel,Eco,1075,1,4,0,3,2,0,2,2,3,1,3,3,4,2,2,0,neutral
98427,Male,Loyal Customer,15,Personal Travel,Eco,1910,3,5,4,2,2,,2,2,4,5,4,3,5,2,0,,neutral
57715,Male,disloyal Customer,47,Business travel,Eco Plus,867,3,3,3,3,1,3,1,1,2,3,3,1,3,1,0,8,neutral
37949,Male,Loyal Customer,61,Personal Travel,,1068,,4,4,1,4,,4,4,3,4,4,5,4,4,0,,neutral
56483,Female,Loyal Customer,57,,,4963,3,4,3,5,3,3,3,3,1,5,1,3,3,3,12,,dissatisfied
34806,Male,Loyal Customer,50,Personal Travel,Eco,301,,4,1,1,3,1,3,3,3,3,4,5,4,3,,18,neutral
6017,Male,Loyal Customer,40,,Eco,672,3,4,4,4,3,3,3,3,4,2,4,4,3,3,0,0,neutral
48351,Male,Loyal Customer,23,,Business,2550,2,2,2,2,4,4,4,,4,3,4,4,4,4,0,,satisfied
44720,Male,Loyal Customer,51,,,268,3,2,3,3,3,3,3,3,4,3,3,4,4,3,,,dissatisfied
51018,Male,Loyal Customer,39,Personal Travel,Eco,266,1,2,1,4,4,,4,4,2,4,4,1,3,4,,,neutral
116970,Male,Loyal Customer,42,Business travel,Business,2514,5,5,5,5,4,4,4,,4,4,4,3,4,4,0,0,satisfied
4299,Female,Loyal Customer,59,Personal Travel,Eco,502,,3,1,3,4,3,2,2,2,1,2,4,2,4,,,neutral
49457,Female,Loyal Customer,60,,Eco,109,,1,5,1,1,3,4,,2,2,2,1,2,2,12,,neutral
2977,Female,Loyal Customer,16,Business travel,Business,3063,4,5,5,5,4,4,4,,1,2,3,1,3,4,0,,neutral
68232,Female,Loyal Customer,40,,Business,2559,5,5,5,5,3,5,5,4,4,4,4,3,4,3,0,,satisfied
71928,Female,disloyal Customer,36,Business travel,Business,1846,,4,4,3,4,,4,4,5,4,3,3,4,4,,4,neutral
98328,Female,Loyal Customer,70,Personal Travel,Business,1189,3,4,3,3,4,5,4,3,3,3,5,4,3,3,,,neutral
91935,Female,Loyal Customer,30,Business travel,Business,2475,,1,3,1,2,,2,4,2,4,4,2,1,2,748,,neutral
62798,Male,Loyal Customer,33,Personal Travel,Eco,2556,3,3,3,4,3,4,1,,3,5,2,1,3,1,0,0,neutral
118736,Male,Loyal Customer,51,Personal Travel,,325,3,4,3,4,2,,2,2,1,1,4,3,4,2,0,,neutral
47810,Male,Loyal Customer,32,,,3497,3,3,3,3,5,,5,5,3,2,5,2,4,5,0,,satisfied
94029,Female,Loyal Customer,56,Business travel,Business,3835,4,4,4,4,2,5,5,4,4,4,4,4,4,3,0,,satisfied
73606,Male,Loyal Customer,46,Business travel,Business,1917,4,4,4,4,4,4,5,,5,5,4,3,5,5,8,3,satisfied
37577,Female,Loyal Customer,75,,Eco,635,,5,5,5,1,,4,3,3,3,3,4,3,3,21,6,neutral
39525,Male,Loyal Customer,25,Personal Travel,Eco,852,2,4,3,1,1,3,2,1,3,2,5,4,5,1,0,,neutral
78121,Female,Loyal Customer,26,Personal Travel,,1797,1,4,1,2,4,,4,4,2,5,5,5,1,4,0,0,neutral
31250,Female,Loyal Customer,39,Business travel,Eco,524,,2,2,2,3,4,3,3,3,4,2,4,5,3,16,,satisfied
15967,Female,disloyal Customer,23,Business travel,Eco,723,,2,2,4,2,2,2,2,2,1,1,3,5,2,24,,neutral
46986,Female,Loyal Customer,52,,Eco,666,3,4,3,3,3,,4,,1,3,5,5,1,3,7,,neutral
31886,Male,Loyal Customer,40,,Business,2762,5,5,5,5,3,3,1,2,2,2,2,4,2,2,0,0,satisfied
65378,Female,Loyal Customer,48,Business travel,,1892,,2,2,2,2,3,2,4,4,4,4,1,4,4,4,6,satisfied
54237,Female,Loyal Customer,45,,,1222,4,4,4,4,3,5,5,5,5,5,5,4,5,2,0,,satisfied
123231,Male,Loyal Customer,17,Personal Travel,Eco,650,3,5,2,2,5,2,5,5,5,4,3,4,3,5,40,49,neutral
58607,Male,Loyal Customer,51,Personal Travel,,334,2,4,2,4,2,3,3,3,3,4,5,3,4,3,238,212,neutral
26299,Male,Loyal Customer,19,Business travel,,2990,,1,3,1,2,2,2,2,1,4,3,2,4,2,,,neutral
60049,Male,Loyal Customer,41,Business travel,,2992,2,2,2,2,5,5,5,,5,5,5,4,5,4,4,,satisfied
83587,Male,Loyal Customer,69,Personal Travel,,936,1,4,1,1,3,1,3,3,5,5,5,3,5,3,0,0,neutral
53240,Female,Loyal Customer,22,Personal Travel,Eco,642,,1,2,4,2,,2,2,1,2,3,2,4,2,0,0,dissatisfied
16379,Male,Loyal Customer,56,Personal Travel,Eco Plus,1325,1,5,1,1,1,1,3,1,4,5,4,4,5,1,35,66,dissatisfied
79764,Female,Loyal Customer,49,,Business,950,2,2,2,2,5,,4,4,4,4,4,3,4,5,3,72,satisfied
53800,Female,Loyal Customer,38,Business travel,Eco,191,3,1,1,1,3,,3,3,4,2,5,2,3,3,0,,satisfied
75645,Male,Loyal Customer,21,,,3379,,2,3,3,1,1,1,1,1,3,4,1,3,1,0,,neutral
46553,Male,Loyal Customer,33,Business travel,Eco,196,0,0,0,3,5,0,5,5,4,4,4,2,4,5,6,,satisfied
64074,Male,Loyal Customer,61,,Eco,921,4,4,4,2,1,,1,1,3,4,4,3,5,1,0,,satisfied
126231,Female,Loyal Customer,33,Business travel,Eco,328,0,0,0,3,4,,4,,3,4,3,1,2,4,0,3,satisfied
59751,Female,Loyal Customer,55,,Business,895,5,5,5,5,3,,4,5,5,5,5,5,5,4,0,,satisfied
93849,Female,Loyal Customer,63,,,391,3,4,3,2,4,,3,1,1,3,1,1,1,3,31,,dissatisfied
97727,Male,Loyal Customer,60,Business travel,Business,1758,,4,4,4,3,5,4,4,4,4,4,3,4,4,,,satisfied
87456,Male,Loyal Customer,45,,,2948,4,4,4,4,3,,4,5,5,5,5,4,5,4,0,,satisfied
100618,Male,Loyal Customer,31,,Business,3094,4,4,4,4,4,4,4,4,4,3,4,1,4,4,0,0,neutral
55518,Female,Loyal Customer,19,Personal Travel,Eco,991,3,5,3,3,1,3,1,1,4,3,5,3,4,1,8,9,neutral
97022,Male,Loyal Customer,48,Business travel,,1645,,2,2,2,4,,5,5,5,5,5,3,5,3,0,,satisfied
50464,Male,disloyal Customer,80,Business travel,Eco,337,,0,4,4,3,,3,,2,5,4,4,2,3,0,0,neutral
54288,Female,Loyal Customer,24,,Eco,1075,4,3,3,3,4,,4,4,3,4,2,5,5,4,5,,satisfied
110689,Male,Loyal Customer,51,,Eco,837,2,1,2,3,1,2,1,1,4,4,4,2,3,1,29,,neutral
23488,Female,Loyal Customer,38,Business travel,,488,,4,4,4,4,4,4,4,1,2,5,4,2,4,12,,satisfied
23131,Female,disloyal Customer,52,Business travel,Eco,646,2,0,2,3,1,2,2,,1,5,3,4,3,1,0,0,neutral
5076,Female,disloyal Customer,26,Business travel,Eco,223,,3,3,3,1,3,1,1,4,4,3,3,3,1,14,30,dissatisfied
45782,Female,Loyal Customer,44,Business travel,,391,5,3,3,3,3,3,1,5,5,5,5,1,5,5,0,3,satisfied
83475,Female,disloyal Customer,22,Business travel,Eco,946,,5,5,2,5,,5,5,3,4,5,3,4,5,0,11,satisfied
41913,Male,Loyal Customer,36,Business travel,Eco,129,4,1,1,1,4,4,4,,2,4,3,3,2,4,0,0,satisfied
8851,Female,Loyal Customer,32,Business travel,Business,2668,5,5,4,5,4,,4,4,5,2,5,5,5,4,2,,satisfied
120426,Male,Loyal Customer,39,Business travel,Business,449,3,3,3,3,4,5,5,5,5,5,5,3,5,3,0,,satisfied
24659,Male,Loyal Customer,30,Business travel,Business,3626,1,3,3,3,1,,1,1,4,3,3,4,4,1,,,neutral
11910,Female,Loyal Customer,48,Business travel,Business,344,,0,0,3,5,,5,4,4,4,4,4,4,4,0,0,satisfied
10785,Female,Loyal Customer,26,Business travel,,2697,,5,5,5,4,,4,4,3,3,4,3,4,4,0,,neutral
57206,Male,Loyal Customer,23,Business travel,,1514,,1,1,1,5,,5,,4,2,4,5,5,5,1,,satisfied
97190,Male,Loyal Customer,38,,Eco,1476,3,4,3,2,1,,1,1,5,4,5,3,4,1,0,,neutral
34247,Female,Loyal Customer,27,,Business,1666,,1,1,1,3,3,3,,4,2,3,1,1,3,65,46,satisfied
11754,Male,Loyal Customer,67,,Eco,395,2,2,2,2,2,2,2,2,4,1,3,4,4,2,0,0,neutral
110347,Female,Loyal Customer,49,Business travel,Business,3623,,3,5,3,2,,5,,5,5,5,3,5,4,56,40,satisfied
37638,Female,Loyal Customer,30,Personal Travel,Eco,1056,2,5,2,2,4,,4,,4,4,5,4,5,4,9,,neutral
5221,Male,Loyal Customer,58,Business travel,Business,3109,1,1,1,1,2,5,5,4,4,4,4,3,4,4,0,,satisfied
121823,Male,disloyal Customer,36,Business travel,Business,337,1,1,1,1,1,1,5,,4,5,5,5,4,5,170,,neutral
46659,Male,disloyal Customer,36,,Eco,141,,0,2,3,3,2,3,3,2,2,4,5,3,3,0,,neutral
35173,Male,Loyal Customer,29,Business travel,,1648,,1,1,1,4,3,4,,4,3,5,3,2,4,0,0,satisfied
95371,Female,Loyal Customer,46,Personal Travel,Eco,187,1,4,1,2,5,4,5,1,1,1,1,4,1,4,9,3,neutral
25194,Female,Loyal Customer,9,Personal Travel,Eco,577,,4,1,3,1,1,1,1,5,2,5,3,5,1,0,0,neutral
66282,Female,disloyal Customer,13,Business travel,Eco,550,2,3,2,3,4,2,4,4,2,3,3,3,4,4,4,,neutral
13695,Female,Loyal Customer,33,Business travel,Business,3567,4,5,5,5,5,3,2,4,4,4,4,3,4,3,0,,neutral
2465,Female,Loyal Customer,41,Business travel,Business,322,1,2,2,2,5,,3,1,1,1,1,3,1,2,0,,dissatisfied
37008,Female,Loyal Customer,58,,Eco,759,,2,1,2,1,,2,5,5,1,5,2,5,4,,11,neutral
92321,Male,Loyal Customer,47,Business travel,,2399,2,2,2,2,5,5,5,3,3,4,3,5,3,4,0,0,satisfied
123174,Female,Loyal Customer,61,Business travel,,2388,0,5,0,1,3,,2,2,2,2,2,3,2,1,4,,satisfied
77284,Female,Loyal Customer,51,Business travel,Business,2505,4,4,3,4,5,,1,5,5,5,5,4,5,1,0,0,satisfied
51426,Female,Loyal Customer,18,Personal Travel,Eco Plus,326,1,2,1,3,2,,3,2,3,4,1,3,3,2,0,,neutral
31510,Female,Loyal Customer,25,Business travel,,846,4,4,4,4,4,,1,4,1,3,3,4,2,4,24,,neutral
22738,Male,disloyal Customer,25,Business travel,Eco,170,4,0,4,1,2,4,2,2,5,2,1,4,1,2,0,,neutral
66896,Male,Loyal Customer,44,Business travel,,2946,,2,4,2,2,,2,3,3,3,3,1,3,4,20,,neutral
59825,Male,Loyal Customer,50,Business travel,Business,2160,1,1,1,1,3,,4,4,4,4,4,3,4,4,,0,satisfied
15700,Male,Loyal Customer,21,,Business,419,1,2,1,3,3,1,3,3,1,5,3,2,3,3,0,0,neutral
101031,Male,Loyal Customer,37,Business travel,Eco Plus,806,,3,3,3,3,3,3,,1,4,4,1,3,3,11,,neutral
102260,Female,Loyal Customer,52,Business travel,Business,3209,0,1,1,4,4,,5,2,2,2,2,4,2,3,0,,satisfied
58201,Female,disloyal Customer,20,Business travel,Eco,925,4,4,4,3,5,,5,5,4,1,4,4,4,5,38,62,neutral
127280,Female,Loyal Customer,15,,,1107,3,4,3,5,5,,5,5,5,5,4,3,5,5,57,,neutral
3941,Female,Loyal Customer,26,Business travel,,3342,,1,1,1,2,3,2,,3,3,5,3,4,2,0,0,satisfied
44770,Male,Loyal Customer,42,Business travel,,1250,,2,2,2,5,,5,5,4,3,2,1,5,5,43,,satisfied
83285,Female,Loyal Customer,36,Personal Travel,Eco,2079,,2,5,3,5,5,5,5,3,4,3,2,3,5,2,0,satisfied
67228,Female,Loyal Customer,17,,,964,4,3,4,3,4,4,4,4,1,3,3,3,4,4,0,0,neutral
40275,Female,Loyal Customer,10,,,436,,5,3,4,2,3,2,,3,2,5,5,4,2,0,,neutral
127786,Female,Loyal Customer,48,Personal Travel,Eco,1037,2,4,2,3,4,5,4,1,1,2,1,3,1,4,0,0,neutral
43884,Female,Loyal Customer,60,Business travel,Business,144,2,3,3,3,4,4,3,3,3,3,2,3,3,3,0,0,neutral
77141,Female,Loyal Customer,54,Personal Travel,,2105,3,5,3,3,4,5,5,3,3,3,3,5,3,4,4,,neutral
5769,Female,Loyal Customer,31,Business travel,,665,2,2,2,2,2,,2,2,4,2,3,1,4,2,4,0,neutral
73096,Male,Loyal Customer,40,,Eco Plus,1085,3,4,3,1,5,,5,,3,4,4,4,4,5,0,,neutral
8685,Female,Loyal Customer,38,Business travel,,3939,3,3,3,3,3,3,4,3,3,3,3,3,3,2,0,0,neutral
114542,Female,Loyal Customer,58,Personal Travel,Business,446,,5,1,3,4,5,4,1,1,1,4,3,1,4,4,2,neutral
11179,Male,Loyal Customer,42,Personal Travel,Eco,224,,5,3,2,3,3,3,3,5,4,4,4,4,3,0,,neutral
26432,Male,Loyal Customer,32,Business travel,Business,3771,1,1,1,1,2,,2,2,4,2,2,5,2,2,0,,satisfied
80212,Female,Loyal Customer,45,Business travel,,2153,2,2,4,2,2,,4,,4,4,4,4,4,4,,,satisfied
37561,Male,Loyal Customer,60,,Business,674,3,3,4,3,4,5,3,5,5,5,5,1,5,2,47,38,satisfied
50045,Male,Loyal Customer,33,,,89,2,3,3,3,2,,2,,4,5,4,4,3,2,0,,neutral
59149,Male,Loyal Customer,47,Business travel,Business,1846,,2,2,2,5,,4,4,4,4,4,4,4,5,62,,satisfied
30504,Female,Loyal Customer,33,,Eco,373,,5,2,3,5,2,5,5,4,3,4,5,5,5,55,,neutral
16849,Female,Loyal Customer,27,,,172888,,2,2,2,4,,4,4,3,2,4,3,4,4,,22,satisfied
102124,Male,Loyal Customer,35,Business travel,Business,197,,1,1,1,4,,5,5,5,5,4,5,5,5,16,,satisfied
23058,Male,Loyal Customer,57,Business travel,,820,2,2,3,2,5,2,1,4,4,4,4,5,4,4,,0,satisfied
79166,Female,Loyal Customer,48,Business travel,Business,2422,2,2,2,2,4,,4,,3,5,4,4,4,4,0,,satisfied
51842,Male,Loyal Customer,19,Personal Travel,Eco Plus,455,,5,2,1,2,2,2,2,3,5,5,4,4,2,0,0,neutral
22924,Male,Loyal Customer,12,Personal Travel,,817,2,3,2,2,1,2,1,1,1,3,5,3,2,1,0,,neutral
21386,Female,Loyal Customer,46,Personal Travel,Business,331,3,0,3,3,2,3,1,4,4,3,2,3,4,3,0,0,neutral
66439,Male,Loyal Customer,32,Business travel,Business,2053,5,5,5,5,4,4,4,4,5,2,5,3,4,4,41,,satisfied
117456,Male,Loyal Customer,25,Personal Travel,Eco,1107,,5,3,4,5,,5,,4,3,4,4,5,5,10,0,neutral
115147,Male,Loyal Customer,41,,Business,3233,3,3,3,3,3,4,5,,5,5,5,4,5,5,12,,satisfied
53076,Female,Loyal Customer,27,Business travel,Eco Plus,1208,2,4,4,4,2,2,2,2,1,1,4,4,3,2,3,,neutral
46083,Male,disloyal Customer,24,Business travel,,495,1,3,1,4,2,1,2,,3,2,4,2,4,2,0,56,neutral
50914,Female,Loyal Customer,63,Personal Travel,Eco,373,3,1,3,4,3,3,3,2,2,3,2,2,2,1,0,0,neutral
19851,Female,Loyal Customer,38,Business travel,Business,693,1,1,5,1,1,3,3,,1,1,1,4,1,3,7,,neutral
88618,Male,Loyal Customer,47,,Eco,404,1,1,1,1,4,,4,4,4,3,2,2,2,4,0,0,neutral
51466,Male,Loyal Customer,28,Business travel,Eco Plus,89,,0,0,4,3,0,3,3,3,5,2,1,1,3,0,0,satisfied
88030,Male,Loyal Customer,54,,Business,2837,2,2,2,2,2,4,4,5,5,5,5,5,5,4,19,,satisfied
38127,Male,Loyal Customer,41,Business travel,Business,3108,1,1,1,1,1,,4,,5,4,5,1,5,5,0,,satisfied
128272,Female,Loyal Customer,41,Business travel,Business,1754,3,3,3,3,4,5,4,,5,5,4,4,5,4,53,49,satisfied
57292,Female,Loyal Customer,32,,,628,2,4,3,4,5,3,5,5,5,4,4,5,5,5,5,,neutral
102265,Male,Loyal Customer,62,,Business,3430,3,5,5,5,3,,3,,3,3,3,1,3,2,11,,neutral
25163,Male,Loyal Customer,35,Business travel,Eco Plus,2106,2,3,3,3,2,,2,,3,1,4,3,3,2,21,,neutral
33950,Female,Loyal Customer,12,,Eco,1072,,4,2,4,4,,2,4,1,5,1,5,1,4,0,,neutral
114322,Female,Loyal Customer,55,Personal Travel,Eco,850,2,4,2,2,2,,5,5,5,2,5,4,5,5,0,0,neutral
56487,Female,Loyal Customer,59,Business travel,,3771,3,3,3,3,5,4,5,5,5,5,5,4,5,5,6,,satisfied
42851,Female,disloyal Customer,37,Business travel,Eco,328,4,2,4,3,5,,2,5,2,5,3,1,3,5,0,3,neutral
116,Female,disloyal Customer,26,Business travel,Business,562,2,2,2,3,3,2,4,3,1,1,3,1,3,3,0,,neutral
60325,Female,Loyal Customer,40,Business travel,Business,2010,,4,4,4,4,4,5,2,2,3,2,3,2,4,7,,satisfied
101030,Female,disloyal Customer,26,,Eco Plus,867,2,2,2,4,4,2,4,4,3,3,4,4,3,4,1,,neutral
68291,Male,Loyal Customer,21,Personal Travel,Eco,806,1,5,1,2,2,1,2,,3,1,5,2,4,2,0,,neutral
45308,Female,Loyal Customer,38,Business travel,Business,150,4,4,4,4,3,4,2,4,4,4,3,2,4,4,0,,satisfied
90421,Female,Loyal Customer,51,Business travel,,1724,,5,5,5,5,,4,5,5,5,5,4,5,5,0,0,satisfied
59775,Female,Loyal Customer,33,Business travel,Business,2686,3,3,4,3,4,,5,5,5,5,5,2,5,4,24,,satisfied
120912,Female,disloyal Customer,25,,Business,992,,5,1,3,3,1,3,,5,4,4,5,4,3,0,,neutral
60673,Male,Loyal Customer,44,Business travel,Eco Plus,1620,,1,1,1,3,3,3,3,1,5,3,4,3,3,19,,neutral
51913,Male,Loyal Customer,43,Personal Travel,Eco,601,2,5,2,3,4,2,5,4,3,1,5,2,5,4,0,0,neutral
74283,Male,Loyal Customer,50,Business travel,Business,2288,2,2,2,2,5,4,4,,5,5,5,4,5,4,0,,satisfied
11917,Female,Loyal Customer,57,Personal Travel,Eco,744,4,5,5,2,2,,5,1,1,5,1,4,1,4,0,,neutral
70445,Male,Loyal Customer,37,Personal Travel,Eco,187,2,4,2,4,5,,2,,5,5,5,5,4,5,0,,neutral
118675,Male,Loyal Customer,42,Business travel,Business,2026,,0,0,4,3,,5,4,4,4,4,3,4,2,,,satisfied
52546,Male,Loyal Customer,41,,Business,2336,,2,2,2,1,,1,5,5,4,5,5,5,4,,,satisfied
119849,Male,Loyal Customer,38,Business travel,,2880,1,1,1,1,1,1,2,5,5,5,5,4,5,2,,,satisfied
75050,Male,Loyal Customer,54,,Business,1592,1,1,1,1,3,,3,,1,1,1,2,1,4,7,,neutral
43788,Male,Loyal Customer,27,Business travel,,481,,4,4,4,5,5,5,,1,2,3,4,4,5,0,0,satisfied
51621,Male,Loyal Customer,39,,,370,5,1,1,1,5,,5,5,1,2,4,3,5,5,13,,satisfied
73783,Male,Loyal Customer,41,Business travel,Business,192,5,5,5,5,4,5,5,4,4,4,4,3,4,5,6,,satisfied
91622,Female,Loyal Customer,27,Business travel,Business,1199,1,1,1,1,4,,4,4,3,5,4,3,4,4,106,124,satisfied
128269,Male,Loyal Customer,47,,Business,2242,1,0,0,4,3,,3,,3,0,5,2,3,4,17,,neutral
71572,Female,disloyal Customer,36,,,1182,,3,3,4,2,,1,,5,5,4,5,4,2,0,,neutral
14103,Female,Loyal Customer,30,Personal Travel,Eco,201,3,5,0,2,2,0,2,,1,1,5,3,2,2,,,neutral
116014,Female,Loyal Customer,30,Personal Travel,,342,3,5,3,1,5,3,4,5,3,2,4,3,5,5,14,16,neutral
35634,Male,Loyal Customer,49,Business travel,,1626,3,3,3,3,1,3,3,3,3,4,3,3,3,1,28,36,satisfied
111903,Male,Loyal Customer,37,,Eco,804,2,5,2,4,1,2,1,1,5,4,3,1,2,1,,,neutral
69069,Female,Loyal Customer,16,Business travel,Business,1389,5,3,5,5,3,3,3,,3,3,4,3,5,3,5,,satisfied
79924,Male,Loyal Customer,25,Business travel,Business,1796,4,2,2,2,4,4,4,,5,3,3,4,2,4,176,164,neutral
104769,Female,Loyal Customer,29,Business travel,Eco Plus,1246,,1,1,1,3,4,4,,2,4,3,4,1,4,186,173,dissatisfied
34657,Female,Loyal Customer,44,Business travel,,3885,5,5,5,5,3,,4,,4,5,4,4,4,4,0,0,satisfied
6362,Male,Loyal Customer,70,Business travel,Business,296,4,1,1,1,2,,3,4,4,3,4,4,4,1,0,,neutral
98193,Female,Loyal Customer,55,Business travel,,327,0,0,0,4,5,,4,2,2,2,2,5,2,4,0,0,satisfied
84040,Male,disloyal Customer,48,Business travel,Business,879,2,2,2,1,5,2,1,5,3,4,4,4,4,5,0,,neutral
102717,Male,Loyal Customer,7,Personal Travel,Eco,255,4,3,4,1,2,4,2,2,2,5,3,5,1,2,32,,dissatisfied
3119,Male,Loyal Customer,46,Business travel,Eco,613,5,4,3,4,5,5,5,5,1,3,4,4,3,5,0,13,satisfied
20908,Female,disloyal Customer,40,Business travel,,689,2,2,2,3,4,2,4,4,2,4,4,1,5,4,0,0,neutral
12855,Male,Loyal Customer,33,Personal Travel,Eco,528,,2,3,3,4,3,4,,2,4,4,1,4,4,22,19,neutral
46820,Female,disloyal Customer,37,Business travel,Eco,850,4,4,4,2,5,4,5,5,4,5,1,1,2,5,0,12,neutral
5551,Female,Loyal Customer,50,Personal Travel,Eco Plus,431,4,5,4,3,2,4,4,2,2,4,2,4,2,5,0,15,neutral
90862,Female,disloyal Customer,29,Business travel,,545,3,1,3,4,3,3,3,3,3,3,3,1,4,3,20,,neutral
32258,Female,Loyal Customer,57,Business travel,Eco,163,4,4,4,4,5,,1,,4,4,4,3,4,2,32,,satisfied
41692,Female,Loyal Customer,12,Personal Travel,,347,,4,1,3,1,1,5,1,4,1,2,3,4,1,0,0,dissatisfied
99830,Female,Loyal Customer,42,Business travel,,2742,3,3,3,3,2,,4,4,4,4,4,5,4,3,6,,satisfied
65805,Female,Loyal Customer,29,Business travel,Business,1389,4,4,4,4,3,,3,,3,3,5,4,5,3,,,satisfied
73300,Female,Loyal Customer,32,Business travel,Business,1005,,5,5,5,4,4,4,,5,5,4,4,4,4,248,261,satisfied
62122,Female,Loyal Customer,49,Business travel,Business,2425,5,5,4,5,4,4,5,,4,4,4,4,4,3,,0,satisfied
14445,Male,Loyal Customer,46,Business travel,,3774,,3,3,3,4,2,4,4,4,4,4,1,4,4,0,,satisfied
43742,Female,Loyal Customer,67,Personal Travel,,626,3,4,3,1,2,4,5,,3,3,3,3,3,5,0,,neutral
16850,Male,disloyal Customer,39,,,708,3,3,3,3,1,3,5,1,4,5,2,1,3,1,90,122,neutral
98809,Male,Loyal Customer,44,Business travel,Business,2073,,4,1,1,4,4,4,4,4,4,4,4,4,4,7,5,satisfied
68801,Female,Loyal Customer,56,Personal Travel,,861,2,5,2,4,3,4,4,,1,2,1,4,1,4,0,,neutral
18342,Female,disloyal Customer,25,,,563,4,5,4,4,3,4,3,,5,1,2,1,2,3,0,,neutral
45321,Female,Loyal Customer,39,Business travel,Eco,461,3,5,5,5,3,3,3,3,2,5,4,1,4,3,11,24,neutral
113629,Male,Loyal Customer,30,,Eco,414,,3,2,3,2,,2,,3,3,4,2,4,2,3,,neutral
5731,Male,Loyal Customer,51,Personal Travel,Eco Plus,299,2,4,2,3,2,2,2,2,3,5,4,5,4,2,0,,neutral
92948,Male,Loyal Customer,35,Personal Travel,Eco,151,,2,2,2,3,2,3,,3,5,3,1,2,3,47,,dissatisfied
37345,Male,Loyal Customer,72,Business travel,Eco,1069,2,4,4,4,2,2,2,2,4,2,2,2,2,2,0,,dissatisfied
101825,Female,Loyal Customer,22,Personal Travel,Eco,1521,,4,4,4,1,,5,1,3,2,4,1,4,1,0,,satisfied
91159,Female,Loyal Customer,60,Personal Travel,Eco,366,,4,1,2,5,4,3,4,4,1,4,1,4,3,0,,neutral
71408,Male,Loyal Customer,55,Business travel,,334,,4,3,4,5,5,5,,4,4,5,5,4,5,5,,satisfied
10698,Male,Loyal Customer,29,Business travel,,74,,2,2,2,2,,2,2,2,3,4,2,4,2,0,,neutral
11751,Female,Loyal Customer,32,Business travel,Business,1932,,4,4,4,2,,2,2,4,1,4,1,3,2,,27,neutral
89966,Male,Loyal Customer,58,Personal Travel,,1501,3,3,3,4,5,,5,,5,4,5,5,4,5,0,0,neutral
112039,Male,Loyal Customer,44,Business travel,Business,1123,2,2,2,2,2,,4,4,4,4,4,3,4,4,0,,satisfied
33486,Female,Loyal Customer,22,,Business,2496,4,4,4,4,2,2,2,2,1,5,4,3,4,2,45,34,satisfied
21197,Female,Loyal Customer,43,,Eco,317,5,4,4,4,4,2,4,5,5,5,5,3,5,4,0,,satisfied
